Date	PD Code	Area Code	AC Code MH	Project Nr	Item Description	Amount
20/02/2024	20G1010	20	3	1562	18- Korangi SP Floor Marble	95250.00
20/02/2024	10S1410	10	1	1562	19 -Korangi SP  Grout	1050.00
20/02/2024	10S1410	10	1	1562	20 -Korangi SP Tool oil ect	3000.00
20/02/2024	10S1410	10	1	1562	21- Korangi SP Plumbing elbow	600.00
27/02/2024	10S1360	10	1	1562	22- Korangi SP Lunch	610.00
20/02/2024	10S1430	10	1	1562	23 -Korangi SP Trim	120.00
20/02/2024	10S1430	10	1	1562	24- Korangi SP Plumbing Parts	740.00
20/02/2024	20G1010	20	3	1562	25- Korangi SP Contractor	12000.00
20/02/2024	10S1430	10	1	1562	26 -Korangi SP Pipe Plumbing	90.00
27/02/2024	20G1010	20	3	1562	27- Korangi SP Labour	22500.00
20/02/2024	20G1010	20	3	1562	28 -Korangi SP Labour	12000.00
20/02/2024	20G1010	20	3	1562	29-Korangi SP Labour	43500.00
29/02/2024	10S1430	10	1	1562	30-Korangi SP Plumbing part	300.00
29/02/2024	10S1430	10	1	1562	31- Korangi SP Glass	7000.00
27/02/2023	60C1010		1455	35 -Islamabad labour	15500.00
20/02/2024	10S1430	10	1	1455	42 -Islamabad - Plumbing	22100.00
29/02/2024	10S1430	10	1	1455	43- Islamabad Paint	68910.00
29/02/2024	10S1430	10	1	1455	44- Islamabad Plumbing Parts	4545.00
29/02/2024	60C1092		1455	45- Islamabad Plumbing Basins	3210.00
29/02/2024	60C1092		1455	46- Islamabad Comode	2100.00
27/02/2024	10S1430	10	1	1455	47 -Islamabad Timber sheets	13500.00
01/03/2024	20G1010	20	3	1455	48 -Islamabad Labour	33500.00
01/03/2024	60C1010		1455	49- Islamabad Cement	5300.00
20/02/2024	10S1430	10	1	1455	50- Islamabad Cables and batteries	49000.00
23/02/2023	10S1430	10	1	1455	51-Islamabad Cables	3000.00
23/02/2023	10S1240	10	1	1455	52- Islamabad delivery	1500.00
23/02/2024	60C1010		1455	53- Islamabad cement	1100.00
23/02/2024	60C1010		1455	54-Islamabad Cement tile set	6855.00
23/02/2024	60C1010		1455	55- Islamabad Labour	9000.00
23/02/2024	60C1010		1455	56- Islamabad Labour	2000.00
23/02/2024	10S1240	10	1	1455	57-Islamabad Delivery	1200.00
18/03/2024	30C2010		1562	4 Korangi Labour	44200.00
17/03/2024	20G3020	20	3	1644	8 Beldia Street Drain works	5000.00
17/03/2024	20G3020	20	3	1644	9 Beldia Town Drain works	15000.00
21/03/2024	30C2010		1562	10 Korangi Painting works internal	73000.00
21/03/2024	10S1240	10	1	1644	11 Beldia Hire for transport	10000.00
21/03/2024	10S1240	10	1	1562	12 Korangi Delivery Charges	15500.00
25/03/2024	01P2010		1542	1 - Islamabad Property Purchase	100000.00
22/03/2024	60B2010		1645	3 - Drigh RD Security grill	290000.00
23/03/2024	30E1060		1562	4 - Korangi SP Fridge/ washing machine	155300.00
27/03/2024	30E1060		1562	5 - Korangi SP Sofa, coffee table	73000.00
27/03/2024	30C1092		1562	6 - Korangi SP Dining chair /Bed Mattress	120000.00
22/03/2024	30D5000		1562	7 - Korangi SP Ex Fan	7500.00
22/03/2024	30C2010		1562	8 - Korangi SP Paint and sundries	6050.00
22/03/2024	30D2000		1562	9 - Korangi SP Water	7000.00
22/03/2024	30D2000		1562	10 Korangi SP Plumbing	1880.00
25/03/2024	30D5000		1562	11 Korangi SP Fixings	600.00
25/03/2024	30D2000		1562	12 Korangi SP Plumbing Pipes	9020.00
27/03/2024	30D5000		1562	13 Korangi SP Cooker Hob	6000.00
22/03/2024	30E2050		1562	14 Korangi SP Bedding	2400.00
24/03/2024	20G3010	20	3	1644	15 Beldia RD Works Drains	10000.00
30/03/2024	30B2020		1637	1 Akhtar - Steel lintels and window grills	30500.00
01/04/2024	20G4010	20	3	1637	2 Akhtar - Cable	9950.00
